split,parent_id,precision,recall,accepted_observations,observations
C07,S01_flat_tree_small_C07,0.0,0.0,0,1004
C07,S02_3d_tree_small_C07,0.0,0.0,0,922
C07,S03_flat_unicyclic_small_C07,0.0,0.0,0,906
C07,S04_3d_unicyclic_small_C07,0.0,0.0,0,1134
C07,S05_flat_branch_medium_C07,0.0,0.0,0,2068
C07,S06_3d_branch_medium_C07,0.0,0.0,0,1676
C07,S07_flat_loop_rich_C07,0.0,0.0,0,2678
C07,S08_3d_loop_rich_C07,0.0,0.0,0,3458
C07,S09_flat_complex_C07,0.0,0.0,0,3580
C07,S10_3d_complex_C07,1.0,0.00022935779816513763,1,4122
C08,S01_flat_tree_small_C08,0.0,0.0,0,1218
C08,S02_3d_tree_small_C08,0.0,0.0,0,1590
C08,S03_flat_unicyclic_small_C08,0.0,0.0,0,1414
C08,S04_3d_unicyclic_small_C08,0.0,0.0,0,1526
C08,S05_flat_branch_medium_C08,0.0,0.0,0,2466
C08,S06_3d_branch_medium_C08,0.0,0.0,0,2174
C08,S07_flat_loop_rich_C08,0.0,0.0,0,2654
C08,S08_3d_loop_rich_C08,0.0,0.0,1,3212
C08,S09_flat_complex_C08,0.0,0.0,0,4182
C08,S10_3d_complex_C08,0.0,0.0,0,3958
